kanji,onyomi,onyomi_all,kunyomi_all,onyomi_in_use,kunyomi_in_use,observed_readings,meaning,components,radical,non_radical_part,radical_cd,radical_strokes,non_radical_strokes,total_strokes,pinyin,pinyin_tone,pinyin_initial,pinyin_final,pinyin_tone_num,nasal_coda,is_entering_tone,entering_coda,word_count,sample_words,mc_initial,mc_initial_cat,mc_voicing,mc_rhyme,mc_rhyme_cat,mc_grade,mc_openness,mc_tone,mc_is_entering,mc_entering_coda,mc_readings_json,mc_reading_count,mc_reading_source,mc_reading_types,mc_goon_primary,mc_kanon_primary,mc_divergent
園,エン,エン|オン,その,エン,,えんげい|えんちょう|こうえん|ていえん|どうぶつえん|ゆうえんち|ようちえん,◆周りを垣や柵などで囲った(樹木・果樹などの)畑、「【說文解字:囗部:園】所以樹果也」◆周りを垣や柵などで囲った広い庭、またそのような庭のある邸宅、またそのような場所◆高く土を盛った王やその家族の墓◆簡「园」,口囗土士口𠮷吉ノ丿２レ𧘇衣袁園,囗,袁,32,3,10,13,yuan,yuan2,y,uan2,2,-n,0,none,7,"[{""word"": ""園長"", ""kana"": ""えんちょう""}, {""word"": ""公園"", ""kana"": ""こうえん""}, {""word"": ""幼稚園"", ""kana"": ""ようちえん""}, {""word"": ""庭園"", ""kana"": ""ていえん""}, {""word"": ""動物園"", ""kana"": ""どうぶつえん""}, {""word"": ""遊園地"", ""kana"": ""ゆうえんち""}, {""word"": ""園芸"", ""kana"": ""えんげい""}]",云,喉,次濁,元,臻,,合,平,0,,"[{""initial"": ""云"", ""initial_category"": ""喉"", ""voicing"": ""次濁"", ""openness"": ""合"", ""grade"": null, ""rhyme"": ""元"", ""rhyme_category"": ""臻"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
土,ト,ト|ツ|ド,つち,ト|ツ|ド,つち,おみやげ|きょうど|こくど|つち|とち|どしゃ|どたんば|どだい|どて|どひょう|どぼく|どよう|どようび|ふうど|みやげ|りょうど,◆泥や細かい砂などから成るもの◆生(セイ)あるものを生み出すもの、「【說文解字:巻一三下:土部:土】地之吐生物者也二象地之下地之中物出形」◆地に根差したもの、その地に根差したもの◆五行(木・火・土・金・水)の一つ ◆つち、部首名,土,土,,33,3,0,3,tu,tu3,t,u3,3,none,0,none,16,"[{""word"": ""土曜日"", ""kana"": ""どようび""}, {""word"": ""お土産"", ""kana"": ""おみやげ""}, {""word"": ""国土"", ""kana"": ""こくど""}, {""word"": ""土曜"", ""kana"": ""どよう""}, {""word"": ""土産"", ""kana"": ""みやげ""}, {""word"": ""土"", ""kana"": ""つち""}, {""word"": ""土地"", ""kana"": ""とち""}, {""word"": ""風土"", ""kana"": ""ふうど""}, {""word"": ""郷土"", ""kana"": ""きょうど""}, {""word"": ""土砂"", ""kana"": ""どしゃ""}]",透,舌,次清,模,遇,,,上,0,,"[{""initial"": ""透"", ""initial_category"": ""舌"", ""voicing"": ""次清"", ""openness"": null, ""grade"": null, ""rhyme"": ""模"", ""rhyme_category"": ""遇"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}, {""initial"": ""定"", ""initial_category"": ""舌"", ""voicing"": ""全濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""模"", ""rhyme_category"": ""遇"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",2,gy,"[""通用"", ""呉/漢異""]","{""initial"": ""定"", ""rhyme"": ""模"", ""tone"": ""上"", ""grade"": null, ""openness"": null}","{""initial"": ""定"", ""rhyme"": ""模"", ""tone"": ""上"", ""grade"": null, ""openness"": null}",1
圧,オウ,オウ|ヨウ|アツ,お・す|おさ・える|へ・す,アツ,,あっしゅく|あっしょう|あっとう|あっとうてき|あっぱく|きあつ|けつあつ|じゅうあつ|でんあつ|よくあつ,◆上から下に向けて押え付けるように力を加える◆力で押え付ける、押え付けて従わせる¶「圧」は日本・韓国などで用いられる「壓」の簡体字、中国では「压」,厂土圧,土,厂,33,3,2,5,ya,ya1,y,a1,1,none,1,-t,10,"[{""word"": ""電圧"", ""kana"": ""でんあつ""}, {""word"": ""圧縮"", ""kana"": ""あっしゅく""}, {""word"": ""気圧"", ""kana"": ""きあつ""}, {""word"": ""血圧"", ""kana"": ""けつあつ""}, {""word"": ""圧勝"", ""kana"": ""あっしょう""}, {""word"": ""圧倒"", ""kana"": ""あっとう""}, {""word"": ""圧倒的"", ""kana"": ""あっとうてき""}, {""word"": ""圧迫"", ""kana"": ""あっぱく""}, {""word"": ""重圧"", ""kana"": ""じゅうあつ""}, {""word"": ""抑圧"", ""kana"": ""よくあつ""}]",影,喉,全清,銜,咸,,,入,1,フ,"[{""initial"": ""影"", ""initial_category"": ""喉"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""銜"", ""rhyme_category"": ""咸"", ""tone"": ""入"", ""is_entering"": true, ""entering_coda_type"": ""フ"", ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
在,サイ,サイ|ザイ,あ・る|いま・す,ザイ,あ・る,ありきたり|けんざい|げんざい|ざいがく|ざいこ|ざいせき|ざいらい|しょざい|じざい|じつざい|そんざい|たいざい|ふざい,◆そこに居(い)る、同じ状態で一定のところに留(とど)まっている、またその場所◆～に於(お)いて、～(場所)で(at),ナ𠂇Ｉ｜丨土在,土,03在-土,33,3,3,6,zai,zai4,z,ai4,4,none,0,none,13,"[{""word"": ""在庫"", ""kana"": ""ざいこ""}, {""word"": ""現在"", ""kana"": ""げんざい""}, {""word"": ""存在"", ""kana"": ""そんざい""}, {""word"": ""滞在"", ""kana"": ""たいざい""}, {""word"": ""在学"", ""kana"": ""ざいがく""}, {""word"": ""在籍"", ""kana"": ""ざいせき""}, {""word"": ""在り来り"", ""kana"": ""ありきたり""}, {""word"": ""健在"", ""kana"": ""けんざい""}, {""word"": ""在来"", ""kana"": ""ざいらい""}, {""word"": ""自在"", ""kana"": ""じざい""}]",從,齒,全濁,咍,蟹,,,上,0,,"[{""initial"": ""從"", ""initial_category"": ""齒"", ""voicing"": ""全濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""咍"", ""rhyme_category"": ""蟹"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""從"", ""initial_category"": ""齒"", ""voicing"": ""全濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""咍"", ""rhyme_category"": ""蟹"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",2,gy,"[""呉/漢異"", ""呉/漢異""]","{""initial"": ""從"", ""rhyme"": ""咍"", ""tone"": ""上"", ""grade"": null, ""openness"": null}","{""initial"": ""從"", ""rhyme"": ""咍"", ""tone"": ""上"", ""grade"": null, ""openness"": null}",1
地,チ,チ|ジ,つち,チ|ジ,,いじ|いじわる|かくち|きじ|きち|きょうち|けんち|げんち|こうち|ここち|ここちよい|さんち|したじ|じしん|じばん|じみ|じみち|じめん|じもと|だんち|ちい|ちいき|ちか|ちかすい|ちかてつ|ちきゅう|ちく|ちず|ちたい|ちぢつ|ちてん|ちへいせん|ちほう|ちめい|ちり|とち|ぼんち|むじ|ゆうえんち|よち|りくち|りょうち|ろじ|～ごこち|～ばんち,◆重い陰気が(下に沈み)集まるところ、万物が居並ぶ(存在する)ところ、軽い陽気が(上に浮き)集まるところを「天(テン)」、「【說文解字注:土部:地】元气初分輕清陽爲天重濁侌爲地萬物所陳𠛱也…」◆(「天」に対する語で)下にあるもの、足元に広がっているところ、天に覆(おお)われているところ◆ものを下から支えているもの、ものの拠(よ)りどころになるもの、またそのような場所◆海や川などの水がある所を除いた部分、土が露(あら)わになっているところ(水に覆われていないところ)、陸,土せ也地,土,也,33,3,3,6,di,di4,d,i4,4,none,1,-k,45,"[{""word"": ""地震"", ""kana"": ""じしん""}, {""word"": ""地下鉄"", ""kana"": ""ちかてつ""}, {""word"": ""地図"", ""kana"": ""ちず""}, {""word"": ""地球"", ""kana"": ""ちきゅう""}, {""word"": ""地理"", ""kana"": ""ちり""}, {""word"": ""～番地"", ""kana"": ""～ばんち""}, {""word"": ""遊園地"", ""kana"": ""ゆうえんち""}, {""word"": ""各地"", ""kana"": ""かくち""}, {""word"": ""生地"", ""kana"": ""きじ""}, {""word"": ""産地"", ""kana"": ""さんち""}]",定,舌,全濁,脂,止,,開,去,0,,"[{""initial"": ""定"", ""initial_category"": ""舌"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""脂"", ""rhyme_category"": ""止"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",1,gy,"[""呉/漢異""]","{""initial"": ""定"", ""rhyme"": ""脂"", ""tone"": ""去"", ""grade"": null, ""openness"": ""開""}","{""initial"": ""定"", ""rhyme"": ""脂"", ""tone"": ""去"", ""grade"": null, ""openness"": ""開""}",1
坂,ハン,ハン|ホン|バン,さか,,さか,さか,◆傾斜した地形、傾斜した道、同「岅」「坡」「陂」「岥」◆土手、堤(つつみ)、同「坡」「陂」、「【說文解字:𨸏部:阪】坡者曰阪一曰澤障一曰山脅也」,土厂ヌ又反坂,土,反,33,3,4,7,ban,ban3,b,an3,3,-n,0,none,1,"[{""word"": ""坂"", ""kana"": ""さか""}]",幫,脣,全清,元,臻,,,上,0,,"[{""initial"": ""幫"", ""initial_category"": ""脣"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""元"", ""rhyme_category"": ""臻"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
均,キン,キン|イン,ひとし・い|なら・す,キン,,きんこう|きんしつ|へいきん,◆(土地を)平等に或いは公平に分配する◆どれも同じように揃っている、偏(かたより)りがない、凹凸・大小・軽重などがない◆等しく、同じように,土ノ丿𠃌勹二ン冫勻匀均,土,匀,33,3,4,7,jun,jun1,j,un1,1,-n,0,none,3,"[{""word"": ""平均"", ""kana"": ""へいきん""}, {""word"": ""均衡"", ""kana"": ""きんこう""}, {""word"": ""均質"", ""kana"": ""きんしつ""}]",,,,,,,,,0,,,0,,,,,0
坊,ホウ,ホウ|ボウ,,ボウ,,あかんぼう|ねぼう|ぼうさん|ぼうや|ぼっちゃん|みっかぼうず|～んぼう,◆市街を区画(クカク)する道、街巷(ガイコウ)、里巷(リコウ)◆市街の道で区切られた区画◆住まい、住居、同「房」「𠩝」◆防(ふせ)ぐ、遮(さえぎ)る、同「防」◆[日]僧侶(ソウリョ)、「坊主(ぼうず)」◆[日]男児を親しんで呼ぶ語、「坊ちゃん」◆[日]親しみ或いは嘲(あざけ)りを込めて「～な人」,土亠万方坊,土,方,33,3,4,7,fang,fang1,f,ang1,1,-ng,0,none,7,"[{""word"": ""赤ん坊"", ""kana"": ""あかんぼう""}, {""word"": ""寝坊"", ""kana"": ""ねぼう""}, {""word"": ""坊ちゃん"", ""kana"": ""ぼっちゃん""}, {""word"": ""坊さん"", ""kana"": ""ぼうさん""}, {""word"": ""坊や"", ""kana"": ""ぼうや""}, {""word"": ""三日坊主"", ""kana"": ""みっかぼうず""}, {""word"": ""～ん坊"", ""kana"": ""～んぼう""}]",並,脣,全濁,陽,宕,,,平,0,,"[{""initial"": ""並"", ""initial_category"": ""脣"", ""voicing"": ""全濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""陽"", ""rhyme_category"": ""宕"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""幫"", ""initial_category"": ""脣"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""陽"", ""rhyme_category"": ""宕"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",2,gy,"[""呉/漢異"", ""通用""]","{""initial"": ""並"", ""rhyme"": ""陽"", ""tone"": ""平"", ""grade"": null, ""openness"": null}","{""initial"": ""並"", ""rhyme"": ""陽"", ""tone"": ""平"", ""grade"": null, ""openness"": null}",1
垂,スイ,スイ|ズイ,た・れる|なんなん・とする|し・ずる|しだ・れる,スイ,た・れる,すいちょく|たれる,◆(紐・糸などの線状のものや布・紙などの平面状のものの)片方がぶら下がる、繋(つな)がっているものの片方がだらりと下がる◆連(つら)なりながら下に落ちる、伝わり落ちる◆上の者(上位者・上級者・年長者など)が下の者に与える、また伝える、また継(つ)ぐ◆なんなん・とする、今にも～になりそうである◆辺境、辺遠の地、同「陲」,ノ丿十千十２土垂,土,,33,3,5,8,chui,chui2,ch,ui2,2,none,0,none,2,"[{""word"": ""垂直"", ""kana"": ""すいちょく""}, {""word"": ""垂れる"", ""kana"": ""たれる""}]",常,齒,全濁,支,止,,合,平,0,,"[{""initial"": ""常"", ""initial_category"": ""齒"", ""voicing"": ""全濁"", ""openness"": ""合"", ""grade"": null, ""rhyme"": ""支"", ""rhyme_category"": ""止"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",1,gy,"[""呉/漢異""]","{""initial"": ""常"", ""rhyme"": ""支"", ""tone"": ""平"", ""grade"": null, ""openness"": ""合""}","{""initial"": ""常"", ""rhyme"": ""支"", ""tone"": ""平"", ""grade"": null, ""openness"": ""合""}",1
型,ケイ,ケイ|ギョウ,かた,ケイ,かた,うすがた|おおがた|かた|かみがた|げんけい|こがた|さいしんがた|しんがた|てんけいてき|ぶんけい|もけい|るいけい|るいけいてき,◆これから作ろうとする物の形に作ったもの、溶かした金属を流し入れて目的の形に造るためのもの、「鋳型(いがた)」、木製は「模」、竹製は「範」◆模範(モハン)、手本、基本や標準になる形、様式、タイプtype,一ノ丿ナ十２廾二开リ刂刑土型,土,刑,33,3,6,9,xing,xing2,x,ing2,2,-ng,0,none,13,"[{""word"": ""大型"", ""kana"": ""おおがた""}, {""word"": ""文型"", ""kana"": ""ぶんけい""}, {""word"": ""髪型"", ""kana"": ""かみがた""}, {""word"": ""小型"", ""kana"": ""こがた""}, {""word"": ""最新型"", ""kana"": ""さいしんがた""}, {""word"": ""薄型"", ""kana"": ""うすがた""}, {""word"": ""型"", ""kana"": ""かた""}, {""word"": ""典型的"", ""kana"": ""てんけいてき""}, {""word"": ""原型"", ""kana"": ""げんけい""}, {""word"": ""新型"", ""kana"": ""しんがた""}]",匣,喉,全濁,青,梗,,開,平,0,,"[{""initial"": ""匣"", ""initial_category"": ""喉"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""青"", ""rhyme_category"": ""梗"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",1,gy,"[""呉/漢異""]","{""initial"": ""匣"", ""rhyme"": ""青"", ""tone"": ""平"", ""grade"": null, ""openness"": ""開""}","{""initial"": ""匣"", ""rhyme"": ""青"", ""tone"": ""平"", ""grade"": null, ""openness"": ""開""}",1
垢,コウ,コウ|ク,あか,,あか,あか,◆塵(ちり)や埃(ほこり)、ものの表面に付着する汚(よご)れや穢(けが)れ、少しずつ積もりたまっていく不浄・不潔なもの、同「坸」◆体面を汚(けが)す、辱(はずかし)める、同「詬」◆「解垢(カイコウ)」、無理な(怪しげな)理屈をつけること、こじつけること,土ノ丿２𠂆一𠂋口后垢,土,后,33,3,6,9,gou,gou4,g,ou4,4,none,0,none,1,"[{""word"": ""垢"", ""kana"": ""あか""}]",見,牙,全清,侯,流,,,上,0,,"[{""initial"": ""見"", ""initial_category"": ""牙"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""侯"", ""rhyme_category"": ""流"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
垣,エン,エン|オン,かき,,かき,かいまみる|かきね,◆土を高く盛って周りを囲んだ土塁(ドルイ)、比較的低いものを指す、高いものは「墉」、「【字彙:丑集:土部:垣】于權切音員牆也卑曰垣高曰墉釋名垣援也人所依阻以為援衛也…」◆周囲に廻(めぐ)らせた壁(かべ)や柵(さく)、同「𥥣」「𩫧」,土一日旦二２亘垣,土,亘,33,3,6,9,yuan,yuan2,y,uan2,2,-n,0,none,2,"[{""word"": ""垣根"", ""kana"": ""かきね""}, {""word"": ""垣間見る"", ""kana"": ""かいまみる""}]",云,喉,次濁,元,臻,,合,平,0,,"[{""initial"": ""云"", ""initial_category"": ""喉"", ""voicing"": ""次濁"", ""openness"": ""合"", ""grade"": null, ""rhyme"": ""元"", ""rhyme_category"": ""臻"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
埃,アイ,アイ,ほこり,,ほこり,ほこり,◆ほこり、風などによって宙に舞い上がる細かい土や砂、塵(ちり)、「塵埃(ジンアイ)」、同「塵」◆10の-10乗 ◆オングストロームangstrom、長さの単位、100億分の1m,土ム厶大天矢矣埃,土,矣,33,3,7,10,ai,ai1,,ai1,1,none,0,none,1,"[{""word"": ""埃"", ""kana"": ""ほこり""}]",影,喉,全清,咍,蟹,,,平,0,,"[{""initial"": ""影"", ""initial_category"": ""喉"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""咍"", ""rhyme_category"": ""蟹"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
埋,バイ,バイ|マイ|メ,う・める|う・まる|う・もれる|うず・める|うず・もれる,マイ|メ,う・める|う・まる|う・もれる|うず・める|うず・もれる,あなうめ|うずめる|うまる|うめこむ|うめたてる|うめる|まいぞう,◆ものを中に入れて塞(ふさ)ぐ、土などで覆(おお)って外から見えなくする、「埋葬(マイソウ)」、同「薶」,土田甲土里埋,土,里,33,3,7,10,mai,mai2,m,ai2,2,none,0,none,7,"[{""word"": ""埋める"", ""kana"": ""うめる""}, {""word"": ""埋まる"", ""kana"": ""うまる""}, {""word"": ""穴埋め"", ""kana"": ""あなうめ""}, {""word"": ""埋める"", ""kana"": ""うずめる""}, {""word"": ""埋め込む"", ""kana"": ""うめこむ""}, {""word"": ""埋め立てる"", ""kana"": ""うめたてる""}, {""word"": ""埋蔵"", ""kana"": ""まいぞう""}]",明,脣,次濁,皆,蟹,,,平,0,,"[{""initial"": ""明"", ""initial_category"": ""脣"", ""voicing"": ""次濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""皆"", ""rhyme_category"": ""蟹"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",1,gy,"[""呉/漢異""]","{""initial"": ""明"", ""rhyme"": ""皆"", ""tone"": ""平"", ""grade"": null, ""openness"": null}","{""initial"": ""明"", ""rhyme"": ""皆"", ""tone"": ""平"", ""grade"": null, ""openness"": null}",1
城,セイ,セイ|ジョウ,しろ,ジョウ,しろ,しろ|じょうかまち,◆外敵からの攻撃を防ぐために都市(日本の城下町に当たる)を囲むように築かれた高い壁、またその壁で囲まれた都市、二重に壁を巡(めぐ)らせてある場合は、内側を「城」、外側を「郭(カク)」「外城(ガイジョウ)」という◆[日]外敵からの攻撃を防くために石垣や濠(ほり)などを廻らせた構築物、また石垣や濠(ほり)などで囲まれた一画,土厂一、丶弋ノ戈成城,土,成,33,3,6,9,cheng,cheng2,ch,eng2,2,-ng,0,none,2,"[{""word"": ""城"", ""kana"": ""しろ""}, {""word"": ""城下町"", ""kana"": ""じょうかまち""}]",常,齒,全濁,清,梗,,開,平,0,,"[{""initial"": ""常"", ""initial_category"": ""齒"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""清"", ""rhyme_category"": ""梗"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",1,gy,"[""呉/漢異""]","{""initial"": ""常"", ""rhyme"": ""清"", ""tone"": ""平"", ""grade"": null, ""openness"": ""開""}","{""initial"": ""常"", ""rhyme"": ""清"", ""tone"": ""平"", ""grade"": null, ""openness"": ""開""}",1
域,ヨク,ヨク|イキ,,イキ,,くいき|ぜんいき|ちいき|りゅういき|りょういき,◆境界、区切り◆境界の内側、周りを囲った内側、範囲◆邦(くに)、領土、国土,土一、丶弋ノ戈口戓或域,土,或,33,3,8,11,yu,yu4,y,u4,4,none,1,-k,5,"[{""word"": ""地域"", ""kana"": ""ちいき""}, {""word"": ""区域"", ""kana"": ""くいき""}, {""word"": ""流域"", ""kana"": ""りゅういき""}, {""word"": ""全域"", ""kana"": ""ぜんいき""}, {""word"": ""領域"", ""kana"": ""りょういき""}]",云,喉,次濁,蒸,曾,,合,入,1,ク,"[{""initial"": ""云"", ""initial_category"": ""喉"", ""voicing"": ""次濁"", ""openness"": ""合"", ""grade"": null, ""rhyme"": ""蒸"", ""rhyme_category"": ""曾"", ""tone"": ""入"", ""is_entering"": true, ""entering_coda_type"": ""ク"", ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
執,シュウ,シュウ|シツ,と・る,シュウ|シツ,,しっこう|しっぴつ|しつよう|しゅうちゃく,◆手に取りしっかりと握る、しっかりと手や目や頭などの中に入れる、掴(つか)まえて離さない◆ぴったりと付く、ぴったりと付いて離れない、心が捉(とら)われる◆しっかりと握り守る◆自分のすべきことをしっかりと手に収めて行う,土ソ丷一䒑二十干𢆉幸ノ丿⺄九、丶丸執,土,,33,3,8,11,zhi,zhi2,zh,i2,2,none,0,none,4,"[{""word"": ""執筆"", ""kana"": ""しっぴつ""}, {""word"": ""執行"", ""kana"": ""しっこう""}, {""word"": ""執拗"", ""kana"": ""しつよう""}, {""word"": ""執着"", ""kana"": ""しゅうちゃく""}]",章,齒,全清,侵,深,,,入,1,フ,"[{""initial"": ""章"", ""initial_category"": ""齒"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""侵"", ""rhyme_category"": ""深"", ""tone"": ""入"", ""is_entering"": true, ""entering_coda_type"": ""フ"", ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
培,ハイ,ハイ|バイ|ベ|ホウ|ブ,つちか・う,バイ,,さいばい,◆植物の根元に土を盛り上げる、よって生育を助ける◆知識や能力を養い育てる◆「培塿(ハイロウ)」、土を重ね盛った小さな丘、同「㟝嶁」、「【廣韻:上聲:巻第三:厚第四十五:培】培塿小阜或作㟝」,土立口咅培,土,咅,33,3,8,11,pei,pei2,p,ei2,2,none,0,none,1,"[{""word"": ""栽培"", ""kana"": ""さいばい""}]",並,脣,全濁,灰,蟹,,,平,0,,"[{""initial"": ""並"", ""initial_category"": ""脣"", ""voicing"": ""全濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""灰"", ""rhyme_category"": ""蟹"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""並"", ""initial_category"": ""脣"", ""voicing"": ""全濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""侯"", ""rhyme_category"": ""流"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",2,gy,"[""呉/漢異"", ""呉/漢異""]","{""initial"": ""並"", ""rhyme"": ""灰"", ""tone"": ""平"", ""grade"": null, ""openness"": null}","{""initial"": ""並"", ""rhyme"": ""灰"", ""tone"": ""平"", ""grade"": null, ""openness"": null}",1
基,キ,キ|コ,もと|もと・づく|もとい,キ,もと|もと・づく,ききん|きじゅん|きそ|きち|きばん|きほん|きほんてき|もとづく,◆構築物を建てる時に最初に築く部分、構築物を支える土台◆物事の始まりとなるところ、物事の拠(よ)りどころとなるもの、物事の根本のところ,甘目ハ八其土基,土,其,33,3,8,11,ji,ji1,j,i1,1,none,1,-k,8,"[{""word"": ""基礎"", ""kana"": ""きそ""}, {""word"": ""基本的"", ""kana"": ""きほんてき""}, {""word"": ""基準"", ""kana"": ""きじゅん""}, {""word"": ""基地"", ""kana"": ""きち""}, {""word"": ""基盤"", ""kana"": ""きばん""}, {""word"": ""基本"", ""kana"": ""きほん""}, {""word"": ""基づく"", ""kana"": ""もとづく""}, {""word"": ""基金"", ""kana"": ""ききん""}]",見,牙,全清,之,止,,,平,0,,"[{""initial"": ""見"", ""initial_category"": ""牙"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""之"", ""rhyme_category"": ""止"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
堀,コツ,コツ|コチ|クツ,ほり,,ほり,ほり,"◆土や岩などを""⊂""字状(水平方向)・""Ｕ""字状(垂直方向)に掘って造(つく)った穴、地中に掘った土室(つちむろ)や岩などに穴を掘って岩屋(いわや)など、同「窟」、またそのような穴を掘る、同「掘」◆[日]地面を掘って作った筋状の窪(くぼ)み(丸い穴ではなく長さがあるもの)",土コノ丿尸凵山２出屈堀,土,屈,33,3,8,11,ku,ku1,k,u1,1,none,1,-k,1,"[{""word"": ""堀/濠"", ""kana"": ""ほり""}]",羣,牙,全濁,文,臻,,,入,1,ツ,"[{""initial"": ""羣"", ""initial_category"": ""牙"", ""voicing"": ""全濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""文"", ""rhyme_category"": ""臻"", ""tone"": ""入"", ""is_entering"": true, ""entering_coda_type"": ""ツ"", ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""溪"", ""initial_category"": ""牙"", ""voicing"": ""次清"", ""openness"": null, ""grade"": null, ""rhyme"": ""魂"", ""rhyme_category"": ""臻"", ""tone"": ""入"", ""is_entering"": true, ""entering_coda_type"": ""ツ"", ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",2,gy,"[""呉/漢異"", ""通用""]","{""initial"": ""羣"", ""rhyme"": ""文"", ""tone"": ""入"", ""grade"": null, ""openness"": null}","{""initial"": ""羣"", ""rhyme"": ""文"", ""tone"": ""入"", ""grade"": null, ""openness"": null}",1
