kanji,onyomi,onyomi_all,kunyomi_all,onyomi_in_use,kunyomi_in_use,observed_readings,meaning,components,radical,non_radical_part,radical_cd,radical_strokes,non_radical_strokes,total_strokes,pinyin,pinyin_tone,pinyin_initial,pinyin_final,pinyin_tone_num,nasal_coda,is_entering_tone,entering_coda,word_count,sample_words,mc_initial,mc_initial_cat,mc_voicing,mc_rhyme,mc_rhyme_cat,mc_grade,mc_openness,mc_tone,mc_is_entering,mc_entering_coda,mc_readings_json,mc_reading_count,mc_reading_source,mc_reading_types,mc_goon_primary,mc_kanon_primary,mc_divergent
両,リョウ,リョウ,ふた|ふた・つ|もろ,リョウ,,りょうしん,◆(対になる)二つ、またその双方、双方共に◆重量の単位、1斤=16両 ◆車の台数を表す語、同「輛」◆[日]貨幣の単位、金1両=銀60匁(江戸時代元禄期),Ｔ冂山両,一,,11,1,5,6,liang,liang3,l,iang3,3,-ng,0,none,1,"[{""word"": ""両親"", ""kana"": ""りょうしん""}]",,,,,,,,,0,,,0,,,,,0
並,ヘイ,ヘイ,なら・ぶ|な・み,,なら・ぶ|な・み,ならぶ|ならべる,◆二つの同じものが隣り合って同じ方向を向く、また同じ方向を向いて立つ◆～と同様に、～と同時に◆皆と同じ、程度が普通,ソ丷一䒑二Ｉ｜丨２业亚並,一,,11,1,7,8,bing,bing4,b,ing4,4,-ng,0,none,2,"[{""word"": ""並ぶ"", ""kana"": ""ならぶ""}, {""word"": ""並べる"", ""kana"": ""ならべる""}]",並,脣,全濁,青,梗,,,上,0,,"[{""initial"": ""並"", ""initial_category"": ""脣"", ""voicing"": ""全濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""青"", ""rhyme_category"": ""梗"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",1,gy,"[""呉/漢異""]","{""initial"": ""並"", ""rhyme"": ""青"", ""tone"": ""上"", ""grade"": null, ""openness"": null}","{""initial"": ""並"", ""rhyme"": ""青"", ""tone"": ""上"", ""grade"": null, ""openness"": null}",1
中,チュウ,チュウ,なか,チュウ,なか,ちゅうかがい|ちゅうかりょうり|ちゅうがくせい|ちゅうがっこう|なか|～じゅう|～ちゅう,◆ものとものの間にあってどちらにも偏(かたよ)らない位置◆上下・高低・大小などの間(あいだ)に位置する人や物や場所、同「仲」◆始点(出発地)から終点(目的地)までの範囲の間、半(なか)ば、「途中(トチュウ)」◆閉じられた範囲・領域の内側、同「内」◆ある範囲に含まれるもの、またその全て◆(物の真ん中に)当てる、当たる¶「中(𠁧𠁦𠁩)」はたなびく旗(口)とその真ん中に立つ旗竿(丨)を象ったもので「物の真ん中」、また旗のたなびく方向で風向きを「当てる」の意味を持つ,口Ｉ｜丨中,丨,口,12,1,3,4,zhong,zhong1,zh,ong1,1,-ng,0,none,7,"[{""word"": ""～中"", ""kana"": ""～じゅう""}, {""word"": ""～中"", ""kana"": ""～ちゅう""}, {""word"": ""中華街"", ""kana"": ""ちゅうかがい""}, {""word"": ""中学生"", ""kana"": ""ちゅうがくせい""}, {""word"": ""中学校"", ""kana"": ""ちゅうがっこう""}, {""word"": ""中華料理"", ""kana"": ""ちゅうかりょうり""}, {""word"": ""中"", ""kana"": ""なか""}]",知,舌,全清,東,通,三,,平,0,,"[{""initial"": ""知"", ""initial_category"": ""舌"", ""voicing"": ""全清"", ""openness"": null, ""grade"": ""三"", ""rhyme"": ""東"", ""rhyme_category"": ""通"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}, {""initial"": ""知"", ""initial_category"": ""舌"", ""voicing"": ""全清"", ""openness"": null, ""grade"": ""三"", ""rhyme"": ""東"", ""rhyme_category"": ""通"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",2,gy,"[""通用"", ""通用""]",,,0
丸,カン,カン|ガン,まる|まる・い|まる・める|たま,,まる|まる・い|まる・める,まるい,◆球状または円形、またそのような形のもの、またそのような形にする◆角(かど)が尖(とが)っていない、またそのような形のもの、またそのような形にする◆球状のものを数える語◆全体、全て、すっかり,ノ丿⺄九、丶丸,丶,九,13,1,2,3,wan,wan2,w,an2,2,-n,0,none,1,"[{""word"": ""丸い/円い"", ""kana"": ""まるい""}]",匣,喉,全濁,寒,山,,合,平,0,,"[{""initial"": ""匣"", ""initial_category"": ""喉"", ""voicing"": ""全濁"", ""openness"": ""合"", ""grade"": null, ""rhyme"": ""寒"", ""rhyme_category"": ""山"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",1,gy,"[""呉/漢異""]","{""initial"": ""匣"", ""rhyme"": ""寒"", ""tone"": ""平"", ""grade"": null, ""openness"": ""合""}","{""initial"": ""匣"", ""rhyme"": ""寒"", ""tone"": ""平"", ""grade"": null, ""openness"": ""合""}",1
主,シュ,シュ|ス,おも・な|おも・に|ぬし|あるじ,シュ,,しゅじん,◆蝋燭やランプなどの灯心、同「炷」◆多くの中で特に重要な、またそのような人◆中心となるもの、中心にあるもの、またそのような人◆司(つかさど)る、中心となって統治・統括する、またそのような人,、丶王主,丶,王,13,1,4,5,zhu,zhu3,zh,u3,3,none,0,none,1,"[{""word"": ""主人"", ""kana"": ""しゅじん""}]",章,齒,全清,虞,遇,,,上,0,,"[{""initial"": ""章"", ""initial_category"": ""齒"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""虞"", ""rhyme_category"": ""遇"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
丼,セイ,セイ|ショウ,どんぶり,,,おやこどん,◆井戸、同「井」◆井戸の中に物を投げ入れた時の音◆[日]どんぶり◇大きめの陶製の碗、またそれにご飯を盛り具を載せた料理◇職人などの前掛けや腹掛けの前に付いている物入(ものいれ、ポケット),二ノ丿Ｉ｜丨井、丶丼,丶,井,13,1,4,5,jing,jing3,j,ing3,3,-ng,0,none,1,"[{""word"": ""親子丼"", ""kana"": ""おやこどん""}]",精,齒,全清,清,梗,,開,上,0,,"[{""initial"": ""精"", ""initial_category"": ""齒"", ""voicing"": ""全清"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""清"", ""rhyme_category"": ""梗"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""端"", ""initial_category"": ""舌"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""覃"", ""rhyme_category"": ""咸"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",2,gy,"[""呉/漢異"", ""通用""]","{""initial"": ""精"", ""rhyme"": ""清"", ""tone"": ""上"", ""grade"": null, ""openness"": ""開""}","{""initial"": ""精"", ""rhyme"": ""清"", ""tone"": ""上"", ""grade"": null, ""openness"": ""開""}",1
乗,ショウ,ショウ|ジョウ,の・る|の・せる,,の・る|の・せる,のる,◆高台(たかだい、周りからは一段と高く人や物が乗ることができるようなところ)に登(のぼ)る、馬や車・舟などの台(ダイ)に上(あ)がる◆(人が乗るための)馬や車・舟など(乗り物)◆よい機会を捕(と)らえ(上に乗って)これを利用する◆掛け算をする、掛け算◆車一台を馬四頭で引く馬車・兵車(ヘイシャ)、また広く乗り物を指す、同「𨍱」「𨌤」◆四つで一組になるもの、「【管子:卷一:乘馬】…一乘者四馬也…」◆史書、歴史書◆仏教の教えの一つ、「大乗」「小乗」,ノ丿十千木禾三乗,丿,,14,1,8,9,cheng,cheng2,ch,eng2,2,-ng,0,none,1,"[{""word"": ""乗る"", ""kana"": ""のる""}]",船,齒,全濁,蒸,曾,,開,平,0,,"[{""initial"": ""船"", ""initial_category"": ""齒"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""蒸"", ""rhyme_category"": ""曾"", ""tone"": ""平"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}, {""initial"": ""船"", ""initial_category"": ""齒"", ""voicing"": ""全濁"", ""openness"": ""開"", ""grade"": null, ""rhyme"": ""蒸"", ""rhyme_category"": ""曾"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",2,gy,"[""呉/漢異"", ""呉/漢異""]","{""initial"": ""船"", ""rhyme"": ""蒸"", ""tone"": ""平"", ""grade"": null, ""openness"": ""開""}","{""initial"": ""船"", ""rhyme"": ""蒸"", ""tone"": ""平"", ""grade"": null, ""openness"": ""開""}",1
九,キュウ,キュウ|ク,ここの・つ,,ここの・つ,ここのか|ここのつ,◆数の名、大写字(「一」は「壹」・「二」は「貳」のような大文字のこと)は「玖」 ◆数が多いさま、最も大きい数、最後の数◆最後まで行き着くさま、奥深いさま、同「究」,ノ丿⺄九,乙,丿,15,1,1,2,jiu,jiu3,j,iu3,3,none,0,none,2,"[{""word"": ""九日"", ""kana"": ""ここのか""}, {""word"": ""九つ"", ""kana"": ""ここのつ""}]",見,牙,全清,尤,流,,,上,0,,"[{""initial"": ""見"", ""initial_category"": ""牙"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""尤"", ""rhyme_category"": ""流"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}]",1,gy,"[""通用""]",,,0
乳,ジュ,ジュ|ニュウ,ちち|ち,ニュウ,,ぎゅうにゅう,◆生まれたばかりの子を育てるために母親の体から分泌される液体、ミルクmilk、またそれに似た白くやや粘性のある液体、同「奶」「嬭」◆(母乳を必要とする)生まれたばかりの、幼い、小さい◆(乳状の)白い液体◆「乳房(ニュウボウ、ちぶさ)」「乳頭(ニュウトウ、ちくび)」の略、またそれに似た形のもの,ノ丿ツ⺍爪爫爫子孚Ｌ乚乳,乙,孚,15,1,7,8,ru,ru3,r,u3,3,none,0,none,1,"[{""word"": ""牛乳"", ""kana"": ""ぎゅうにゅう""}]",日,齒,次濁,虞,遇,,,上,0,,"[{""initial"": ""日"", ""initial_category"": ""齒"", ""voicing"": ""次濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""虞"", ""rhyme_category"": ""遇"", ""tone"": ""上"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",1,gy,"[""呉/漢異""]","{""initial"": ""日"", ""rhyme"": ""虞"", ""tone"": ""上"", ""grade"": null, ""openness"": null}","{""initial"": ""日"", ""rhyme"": ""虞"", ""tone"": ""上"", ""grade"": null, ""openness"": null}",1
事,シ,シ|ジ|ズ,こと,シ,,しごと,◆こと、動作・現象・状態など形のないものを指す語、形のあるものは「物」、「事情(ジジョウ、ことの様子)」「無事(ブジ、何事もないさま)」◆職(ショク)、仕事や役割、業務や役目、「【說文解字:史部:事】職也」◆仕える、仕えて仕事や役目を果たす,一口ヨ亅事,亅,,16,1,7,8,shi,shi4,sh,i4,4,none,1,-k,1,"[{""word"": ""仕事"", ""kana"": ""しごと""}]",莊,齒,全清,之,止,,,去,0,,"[{""initial"": ""莊"", ""initial_category"": ""齒"", ""voicing"": ""全清"", ""openness"": null, ""grade"": null, ""rhyme"": ""之"", ""rhyme_category"": ""止"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""general""}, {""initial"": ""崇"", ""initial_category"": ""齒"", ""voicing"": ""全濁"", ""openness"": null, ""grade"": null, ""rhyme"": ""之"", ""rhyme_category"": ""止"", ""tone"": ""去"", ""is_entering"": false, ""entering_coda_type"": null, ""source"": ""廣韻"", ""fanqie"": """", ""inferred_reading_type"": ""divergent""}]",2,gy,"[""通用"", ""呉/漢異""]","{""initial"": ""崇"", ""rhyme"": ""之"", ""tone"": ""去"", ""grade"": null, ""openness"": null}","{""initial"": ""崇"", ""rhyme"": ""之"", ""tone"": ""去"", ""grade"": null, ""openness"": null}",1
