kanji,onyomi,onyomi_all,kunyomi_all,onyomi_in_use,kunyomi_in_use,observed_readings,meaning,components,radical,non_radical_part,radical_cd,radical_strokes,non_radical_strokes,total_strokes,pinyin,pinyin_tone,pinyin_initial,pinyin_final,pinyin_tone_num,nasal_coda,is_entering_tone,entering_coda,word_count,sample_words
丐,カイ,カイ|ガイ,,,,,◆乞(こ)う、他人に物を乞う、他人に願い頼む、同「匃」◆「丐者(カイシャ)」「乞丐(キカイ)」、物乞い、乞食(こじき)◆与える、恵(めぐ)む、同「匃」,一上止正Ｌフ丐,一,,11,1,3,4,gai,gai4,g,ai4,4,none,0,none,0,[]
丑,チュウ,チュウ,うし,,,,◆十二支の二番目、時刻では午前二時を中心とした二時間、方角では北北東、動物ではウシ(牛)を当てる ◆醜(みにく)い、容姿・有様(ありさま)・言動などが良くない、好ましくない、不快で見苦しい、みっともない、同「醜」◆繁「醜」,三丑,一,,11,1,3,4,chou,chou3,ch,ou3,3,none,0,none,0,[]
且,シャ,シャ|ショ|ソ,か・つ,,か・つ,かつ,◆～と同時に、その上に、更に◆ひとまず、取り敢えず、間に合わせに◆将(まさ)に～せんとす、今にも～しようとする,目且,一,,11,1,4,5,qie,qie3,q,ie3,3,none,0,none,1,"[{""word"": ""且つ"", ""kana"": ""かつ""}]"
丕,ヒ,ヒ,,,,,◆大きい、大きなさま、「丕績(ヒセキ、大きな成果、優れた功績)」、同「不」◆「丕鄭(ヒテイ)」、人名、春秋時代(前770年～前5世紀)の晉シン国(前11世紀～前376年)の大夫(タイフ、君主を補佐する重臣)、「【春秋左傳正義(春秋左傳注疏):卷十三:僖公九年】九月晉獻公卒里克、㔻鄭欲納文公…(《注》㔻鄭晉大夫…)」,不一丕,一,不,11,1,4,5,pi,pi1,p,i1,1,none,1,-k,0,[]
世,セイ,セイ|セ,よ,セイ|セ,よ,おせじ|しゅっせ|せいき|せかい|せけん|せそう|せたい|せだい|せろん|せわ|ちゅうせい|みせもの|よ|よのなか|よろん,◆地位や家督を継(つ)いでから次の代(ダイ)に引き継ぐまでの期間、同「代」◆家督(カトク)を継(つ)ぐ、「【前漢書(漢書):卷四十八:賈誼傳】…賈嘉最好學世其家(師古曰言繼其家業)」◆同様の状態が続く期間、時代、特に三十年間を一区切りとした時代、「世代(セイダイ、セダイ)」◆人などが存在・生活する空間や時間、「世界(セカイ)」「世間(セケン)」,十２廿Ｌ世,一,,11,1,4,5,shi,shi4,sh,i4,4,none,1,-k,15,"[{""word"": ""世界"", ""kana"": ""せかい""}, {""word"": ""世話"", ""kana"": ""せわ""}, {""word"": ""世の中"", ""kana"": ""よのなか""}, {""word"": ""御世辞"", ""kana"": ""おせじ""}, {""word"": ""出世"", ""kana"": ""しゅっせ""}, {""word"": ""世紀"", ""kana"": ""せいき""}, {""word"": ""世間"", ""kana"": ""せけん""}, {""word"": ""世帯"", ""kana"": ""せたい""}, {""word"": ""世代"", ""kana"": ""せだい""}, {""word"": ""世論"", ""kana"": ""せろん""}]"
丗,セイ,セイ|セ,よ,,,,◆地位や家督を継(つ)いでから次の代(ダイ)に引き継ぐまでの期間、同「代」◆家督(カトク)を継(つ)ぐ、「【前漢書(漢書):卷四十八:賈誼傳】…賈嘉最好學世其家(師古曰言繼其家業)」◆同様の状態が続く期間、時代、特に三十年間を一区切りとした時代、「世代(セイダイ、セダイ)」◆人などが存在・生活する空間や時間、「世界(セカイ)」「世間(セケン)」,十２廿３丗,一,,11,1,4,5,shi,shi4,sh,i4,4,none,1,-k,0,[]
丘,キュウ,キュウ|ク,おか,キュウ,おか,おか|きゅうりょう,◆地面から高く盛り上がった所、「山」「阜」よりも小さく低いもの◆高く土を盛り上げた墳墓◆大きいさま◆土地の広さを表す単位、「【周禮:卷第三:地官司徒第二】乃經土地而井牧其田野九夫爲井四井爲邑四邑爲丘四丘爲甸四甸爲縣四縣爲都」,丘,一,,11,1,4,5,qiu,qiu1,q,iu1,1,none,0,none,2,"[{""word"": ""丘/岡"", ""kana"": ""おか""}, {""word"": ""丘陵"", ""kana"": ""きゅうりょう""}]"
丙,ヘイ,ヘイ|ヒョウ,ひのえ,,,,◆ひのえ、十干(ジッカン、甲・乙・丙・丁・戊・己・庚・辛・壬・癸)の三番目、五行で「丁」と共に「火」「南」を意味する ◆三、第三、三番目,一冂入人內内丙,一,内,11,1,4,5,bing,bing3,b,ing3,3,none,0,none,0,[]
丞,ショウ,ショウ|ジョウ,,,,,◆(溺れた者などを)救い上げる、救い出す、手を貸して救う、同「拯」「氶」◆脇から(或いは下から)支え助ける、下位の者が上位の者を補佐する◆「丞相(ショウショウ)」、君子を補佐する役目を担う最高位の官職、宰相(サイショウ),フ乛亅了水氶一丞,一,氶,11,1,5,6,cheng,cheng2,ch,eng2,2,none,0,none,0,[]
両,リョウ,リョウ,ふた|ふた・つ|もろ,リョウ,,りょうあし|りょうがえ|りょうがわ|りょうきょく|りょうしゃ|りょうしん|りょうて|りょうほう|りょうりつ|りょう～,◆(対になる)二つ、またその双方、双方共に◆重量の単位、1斤=16両 ◆車の台数を表す語、同「輛」◆[日]貨幣の単位、金1両=銀60匁(江戸時代元禄期),Ｔ冂山両,一,,11,1,5,6,liang,liang3,l,iang3,3,none,0,none,10,"[{""word"": ""両親"", ""kana"": ""りょうしん""}, {""word"": ""両側"", ""kana"": ""りょうがわ""}, {""word"": ""両方"", ""kana"": ""りょうほう""}, {""word"": ""両～"", ""kana"": ""りょう～""}, {""word"": ""両足"", ""kana"": ""りょうあし""}, {""word"": ""両者"", ""kana"": ""りょうしゃ""}, {""word"": ""両手"", ""kana"": ""りょうて""}, {""word"": ""両替"", ""kana"": ""りょうがえ""}, {""word"": ""両極"", ""kana"": ""りょうきょく""}, {""word"": ""両立"", ""kana"": ""りょうりつ""}]"
並,ヘイ,ヘイ,なら・ぶ|な・み,ヘイ,なら・ぶ|な・み,さくらなみき|つきなみ|なみき|なみたいてい|ならびに|ならぶ|ならべる|のきなみ|ひとなみ|へいこう|へいれつ|～なみ,◆二つの同じものが隣り合って同じ方向を向く、また同じ方向を向いて立つ◆～と同様に、～と同時に◆皆と同じ、程度が普通,ソ丷一䒑二Ｉ｜丨２业亚並,一,,11,1,7,8,bing,bing4,b,ing4,4,none,0,none,12,"[{""word"": ""並ぶ"", ""kana"": ""ならぶ""}, {""word"": ""並べる"", ""kana"": ""ならべる""}, {""word"": ""桜並木"", ""kana"": ""さくらなみき""}, {""word"": ""～並み"", ""kana"": ""～なみ""}, {""word"": ""並木"", ""kana"": ""なみき""}, {""word"": ""月並み"", ""kana"": ""つきなみ""}, {""word"": ""並大抵"", ""kana"": ""なみたいてい""}, {""word"": ""並びに"", ""kana"": ""ならびに""}, {""word"": ""軒並み"", ""kana"": ""のきなみ""}, {""word"": ""人並み"", ""kana"": ""ひとなみ""}]"
个,カ,カ|コ,,,,,◆人数や個数など同じ物の数を指す語、またその一つ一つを指す語、「一个(イッカ、一人、一個)」、同「個」◆一つ、ただ一つ、同「独」「単」◆繁「個」¶「个」は「竹(个个)」の片方を象(かたど)ったもので「一つ」を意味する,人𠆢Ｉ｜丨个,丨,人,12,1,2,3,ge,ge4,g,e4,4,none,1,-k,0,[]
中,チュウ,チュウ,なか,チュウ,なか,かいちゅうでんとう|くうちゅう|さいちゅう|さなか|しゅうちゅう|しんじゅう|せなか|ちゅうおう|ちゅうかがい|ちゅうかりょうり|ちゅうかん|ちゅうがく|ちゅうがくせい|ちゅうがっこう|ちゅうき|ちゅうけい|ちゅうこ|ちゅうごくご|ちゅうし|ちゅうしょう|ちゅうしん|ちゅうすう|ちゅうせい|ちゅうたい|ちゅうだん|ちゅうと|ちゅうとはんぱ|ちゅうどく|ちゅうねん|ちゅうふく|ちゅうりつ|とちゅう|なか|なかほど|なかみ|にっちゅう|ねっちゅう|ねんじゅう|はなしちゅう|まんなか|むちゅう|よなか|よのなか|れんちゅう|～じゅう|～ちゅう,◆ものとものの間にあってどちらにも偏(かたよ)らない位置◆上下・高低・大小などの間(あいだ)に位置する人や物や場所、同「仲」◆始点(出発地)から終点(目的地)までの範囲の間、半(なか)ば、「途中(トチュウ)」◆閉じられた範囲・領域の内側、同「内」◆ある範囲に含まれるもの、またその全て◆(物の真ん中に)当てる、当たる¶「中(𠁧𠁦𠁩)」はたなびく旗(口)とその真ん中に立つ旗竿(丨)を象ったもので「物の真ん中」、また旗のたなびく方向で風向きを「当てる」の意味を持つ,口Ｉ｜丨中,丨,口,12,1,3,4,zhong,zhong1,zh,ong1,1,none,0,none,48,"[{""word"": ""～中"", ""kana"": ""～じゅう""}, {""word"": ""～中"", ""kana"": ""～ちゅう""}, {""word"": ""中華街"", ""kana"": ""ちゅうかがい""}, {""word"": ""中学生"", ""kana"": ""ちゅうがくせい""}, {""word"": ""中学校"", ""kana"": ""ちゅうがっこう""}, {""word"": ""中華料理"", ""kana"": ""ちゅうかりょうり""}, {""word"": ""中"", ""kana"": ""なか""}, {""word"": ""背中"", ""kana"": ""せなか""}, {""word"": ""中学"", ""kana"": ""ちゅうがく""}, {""word"": ""中国語"", ""kana"": ""ちゅうごくご""}]"
丱,カン,カン|ケン,,,,,◆髪を左右に分けて束ね角(つの)のように立てた子どもの髪形、同「卝」,Ｌノ丿Ｉ｜丨」丱,丨,,12,1,4,5,guan,guan4,g,uan4,4,none,0,none,0,[]
串,セン,セン|カン|ケン,くし,,,,◆反対側まで通(とお)す、貫(つらぬ)く、同「穿」◆孔(あな)の開いたものに紐(ひも)を通す◆気心が通じている、親(した)しい、「親串(シンセン◇親近者、気心が通じている人◇親戚、関係が深い人)」◆一貫(イッカン)した、いつも同じ、「串習(カンシュウ、慣習、習慣)」◆「串子(センシ)」「串票(センピョウ)」、財貨を領収したことを記(しる)した券(ケン、札)、領収書、同「賗」、「【升菴集:卷六十三:俗字有本】文字指歸云支財貨契曰賗今倉庫收帖曰串子省貝字…」,口Ｉ｜丨中２串,丨,吕,12,1,6,7,chuan,chuan4,ch,uan4,4,none,0,none,0,[]
丶,チュウ,チュウ,,,,,◆「主」などの構成部分◆文章中の「一旦ここで区切る」の意の記号◆てん、部首名,、丶,丶,,13,1,0,1,zhu,zhu3,zh,u3,3,none,0,none,0,[]
丸,カン,カン|ガン,まる|まる・い|まる・める|たま,,まる|まる・い|まる・める,まるい|まるきり|まるごと|まるで|まるまる|まるめる|まんまるい,◆球状または円形、またそのような形のもの、またそのような形にする◆角(かど)が尖(とが)っていない、またそのような形のもの、またそのような形にする◆球状のものを数える語◆全体、全て、すっかり,ノ丿⺄九、丶丸,丶,九,13,1,2,3,wan,wan2,w,an2,2,none,0,none,7,"[{""word"": ""丸い/円い"", ""kana"": ""まるい""}, {""word"": ""丸で"", ""kana"": ""まるで""}, {""word"": ""丸ごと"", ""kana"": ""まるごと""}, {""word"": ""丸きり"", ""kana"": ""まるきり""}, {""word"": ""丸々"", ""kana"": ""まるまる""}, {""word"": ""丸める"", ""kana"": ""まるめる""}, {""word"": ""真ん丸い"", ""kana"": ""まんまるい""}]"
丹,タン,タン,に,タン,,たんねん,◆「丹砂(タンサ、タンシャ)」、水銀と硫黄を含む赤い鉱物、水銀の原材料であると同時に、朱色の顔料や漢方薬にも用いられる、同「辰砂(シンシャ)」「朱砂(シュシャ)」◆朱色、赤い◆幾つかの原料を練った薬、丸い粒状にした薬◆真心(まごころ)、誠(まこと),冂⺆、丶一丹,丶,,13,1,3,4,dan,dan1,d,an1,1,none,0,none,1,"[{""word"": ""丹念"", ""kana"": ""たんねん""}]"
主,シュ,シュ|ス,おも・な|おも・に|ぬし|あるじ,シュ,おも・な|おも・に|ぬし,おも|ごしゅじん|しゅえん|しゅかん|しゅかんてき|しゅぎ|しゅご|しゅさい|しゅしょう|しゅじん|しゅたい|しゅだい|しゅちょう|しゅとして|しゅどう|しゅにん|しゅふ|しゅやく|しゅよう|じしゅ|せんぎょうしゅふ|ぬし|みっかぼうず|みんしゅ～|やぬし|～ぬし,◆蝋燭やランプなどの灯心、同「炷」◆多くの中で特に重要な、またそのような人◆中心となるもの、中心にあるもの、またそのような人◆司(つかさど)る、中心となって統治・統括する、またそのような人,、丶王主,丶,王,13,1,4,5,zhu,zhu3,zh,u3,3,none,0,none,26,"[{""word"": ""主人"", ""kana"": ""しゅじん""}, {""word"": ""主"", ""kana"": ""おも""}, {""word"": ""御主人"", ""kana"": ""ごしゅじん""}, {""word"": ""主婦"", ""kana"": ""しゅふ""}, {""word"": ""主張"", ""kana"": ""しゅちょう""}, {""word"": ""主任"", ""kana"": ""しゅにん""}, {""word"": ""主役"", ""kana"": ""しゅやく""}, {""word"": ""主要"", ""kana"": ""しゅよう""}, {""word"": ""専業主婦"", ""kana"": ""せんぎょうしゅふ""}, {""word"": ""主観"", ""kana"": ""しゅかん""}]"
丼,セイ,セイ|ショウ,どんぶり,,どんぶり,おやこどん|どんぶり|～どん,◆井戸、同「井」◆井戸の中に物を投げ入れた時の音◆[日]どんぶり◇大きめの陶製の碗、またそれにご飯を盛り具を載せた料理◇職人などの前掛けや腹掛けの前に付いている物入(ものいれ、ポケット),二ノ丿Ｉ｜丨井、丶丼,丶,井,13,1,4,5,jing,jing3,j,ing3,3,none,0,none,3,"[{""word"": ""親子丼"", ""kana"": ""おやこどん""}, {""word"": ""～丼"", ""kana"": ""～どん""}, {""word"": ""丼"", ""kana"": ""どんぶり""}]"
丿,ヘツ,ヘツ|ヘチ,,,,,◆筆画の一つ、右上から左下へはらう書き方、「掠(リャク)」という、現代では「撇(ヘツ)」「長撇」 ◆の、部首名,ノ丿,丿,,14,1,0,1,pie,pie3,p,ie3,3,none,0,none,0,[]
乂,ガイ,ガイ|ゲ,,,,,◆草木を刈(か)る、同「刈」「艾」「芟」◆治(おさ)める、物事をあるべき状態にする、同「䢃」◆「乂安(ガイアン)」、世が治まって安らかなさま◆「俊乂(シュンガイ)」、ひときわ有能な人,メ乂,丿,,14,1,1,2,yi,yi4,y,i4,4,none,1,-k,0,[]
乃,ダイ,ダイ|ナイ,すなわ・ち|なんじ|の,ナイ,,ないし,◆すなわ・ち、つまり～、要するに～、従って～、～であるから～、～して～、so、therefore、同「迺」◆汝(なんじ)、あなた、君、you◆[日]「の」「～の～」に当てる漢字、「の」は「乃」の草体から作られたひらがな、同「廼」,ノ丿フ𠃌２𠄎乃,丿,,14,1,1,2,nai,nai3,n,ai3,3,none,0,none,1,"[{""word"": ""乃至"", ""kana"": ""ないし""}]"
久,キュウ,キュウ|ク,ひさ・しい,キュウ|ク,ひさ・しい,えいきゅう|たいきゅうりょく|ひさしい|ひさしぶり,◆長い時間が経っている◆長い間同じような状態で続いている◆灸を据える、同「灸」,ク𠂊人久,丿,,14,1,2,3,jiu,jiu3,j,iu3,3,none,0,none,4,"[{""word"": ""久しぶり"", ""kana"": ""ひさしぶり""}, {""word"": ""永久"", ""kana"": ""えいきゅう""}, {""word"": ""耐久力"", ""kana"": ""たいきゅうりょく""}, {""word"": ""久しい"", ""kana"": ""ひさしい""}]"
之,シ,シ,の|これ,,,,◆～に向かって往(い)く◆～の～、of◆これ、この、this◆それ、その、あれ、あの、that,え之,丶,,13,1,2,3,zhi,zhi1,zh,i1,1,none,1,-k,0,[]
